dataset,num_samples,accuracy,mean_msp,ece,shift_type,id_vs_ood_auroc_using_1_minus_msp
amazon,38905,0.6869811078267575,0.8671978712081909,0.18478709100420654,in_domain,
dynasent,4320,0.3814814814814815,0.7444468140602112,0.36411311800971075,ood,0.6987966503162975
imdb,25000,0.35292,0.8663504719734192,0.5135835073232651,ood,0.5318406523583087
semeval,20632,0.390412950756107,0.7783755660057068,0.38798071058938643,ood,0.6561230892263539
sst5,1067,0.46860356138706655,0.7843902111053467,0.32003032700302675,ood,0.6543257450591864
yelp,30000,0.6839666666666666,0.8785563707351685,0.1945898192534844,ood,0.49078370689285866
