dataset,num_samples,accuracy,msp_auroc,mahalanobis_auroc,energy_auroc,best_method
dynasent,4320,0.3814814814814815,0.528751735000872,0.490063940686588,0.4552274395383989,MSP
imdb,25000,0.35292,0.5748667002812611,0.39860153184266783,0.28890908744545485,MSP
semeval,20632,0.390412950756107,0.4916223524294566,0.5120824485909196,0.5193008065968507,Energy
sst5,1067,0.46860356138706655,0.6200705467372134,0.4590864197530864,0.3931075837742505,MSP
yelp,30000,0.6839666666666666,0.7175666751048351,0.46251166060989446,0.28116795946167317,MSP
AVERAGE,81019,0.45547693205826434,0.5865756019107277,0.46446920029663125,0.3875425753633256,
