file,num_examples,num_classes,temperature,acc_before,acc_after,ece_before,ece_after,ece_reduction,group,calibration_file
./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/anli_logits.csv,3200,3,2.9072477602763005,0.3134375,0.3134375,0.24649326462727522,0.09947390354416182,0.14701936108311342,exp2_nli,./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv
./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv,2091,3,2.9072477602763005,0.27546628407460544,0.27546628407460544,0.2604426377944239,0.13335524006066812,0.12708739773375577,exp2_nli,./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv
./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/mnli_logits.csv,9815,3,2.9072477602763005,0.3329597554763118,0.3329597554763118,0.3217737002969318,0.12345542436453882,0.19831827593239298,exp2_nli,./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv
./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/wanli_logits.csv,5000,3,2.9072477602763005,0.4748,0.4748,0.2311628209685412,0.04693911143370884,0.18422370953483236,exp2_nli,./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv
./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/anli_logits.csv,3200,3,1.1681019334311122,0.32,0.32,0.340775642072424,0.3055693684824298,0.035206273589994175,exp2_nli,./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv
./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/contract_nli_logits.csv,2091,3,1.1681019334311122,0.4763271162123386,0.4763271162123386,0.06401364927555918,0.04427191964300342,0.019741729632555757,exp2_nli,./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv
./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/mnli_logits.csv,9815,3,1.1681019334311122,0.5879775853285787,0.5879775853285787,0.10805875639852258,0.0728226231800033,0.035236133218519275,exp2_nli,./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv
./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv,5000,3,1.1681019334311122,0.6804,0.6804,0.043568503902593,0.012565506060740096,0.031002997841852904,exp2_nli,./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/amazon_logits.csv,38904,3,1.3233970806484823,0.8108163684968127,0.8108163684968127,0.05253171471280783,0.010264518608541027,0.042267196104266797,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dsc_logits.csv,11531,2,1.3233970806484823,0.8531783886913538,0.8531783886913538,0.013504959537861495,0.05476467652726057,-0.04125971698939907,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv,4320,3,1.3233970806484823,0.7064814814814815,0.7064814814814815,0.06793449014620594,0.024014406653016754,0.04392008349318918,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/imdb_logits.csv,25000,2,1.3233970806484823,0.82172,0.82172,0.03206097287117518,0.07797412556857244,-0.045913152697397264,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/semeval_logits.csv,20632,3,1.3233970806484823,0.6403644823575029,0.6403644823575029,0.06809433024361365,0.030489605072256735,0.03760472517135692,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/sst5_logits.csv,1067,3,1.3233970806484823,0.6354264292408622,0.6354264292408622,0.055610628260913515,0.022872654779234624,0.032737973481678895,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/yelp_logits.csv,30000,3,1.3233970806484823,0.6200333333333333,0.6200333333333333,0.2271953203132051,0.17552385947352508,0.05167146083968002,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/amazon_logits.csv,38904,3,1.215901203790345,0.8575210775241621,0.8575210775241621,0.06424736459190102,0.042496600802254474,0.021750763789646542,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/dsc_logits.csv,11531,2,1.215901203790345,0.8795421038938513,0.8795421038938513,0.014505024040562035,0.01173074458762853,0.0027742794529335042,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/dynasent_logits.csv,4320,3,1.215901203790345,0.4377314814814815,0.4377314814814815,0.3557063358415242,0.3252162917097695,0.030490044131754712,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv,25000,2,1.215901203790345,0.9014,0.9014,0.028113724594913722,0.010901821800574514,0.017211902794339207,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/semeval_logits.csv,20632,3,1.215901203790345,0.40582590151221404,0.40582590151221404,0.38659481721751104,0.3559887517527252,0.030606065464785837,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/sst5_logits.csv,1067,3,1.215901203790345,0.5735707591377694,0.5735707591377694,0.30405243528380527,0.2802025135335705,0.02384992175023476,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/yelp_logits.csv,30000,3,1.215901203790345,0.6238,0.6238,0.25744393285313416,0.2331261653485659,0.024317767504568266,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/amazon_logits.csv,38904,3,1.243531311931459,0.840916101172116,0.840916101172116,0.06722911230326162,0.10857822225362727,-0.041349109950365656,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/dsc_logits.csv,11531,2,1.243531311931459,0.8305437516260515,0.8305437516260515,0.013480097915866063,0.027386961791328417,-0.013906863875462354,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/dynasent_logits.csv,4320,3,1.243531311931459,0.4703703703703704,0.4703703703703704,0.17882999853441633,0.1367734029661396,0.04205659556827673,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/imdb_logits.csv,25000,2,1.243531311931459,0.80936,0.80936,0.01452091409073121,0.03953151780659718,-0.02501060371586597,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv,20632,3,1.243531311931459,0.5602462194649089,0.5602462194649089,0.10163793231773485,0.07334529639534816,0.02829263592238669,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/sst5_logits.csv,1067,3,1.243531311931459,0.6148078725398313,0.6148078725398313,0.03550321035414585,0.03339007196729226,0.0021131383868535913,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/yelp_logits.csv,30000,3,1.243531311931459,0.6051,0.6051,0.09664023929000902,0.056456548769297885,0.040183690520711135,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv
./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/amazon_logits.csv,38904,3,1.07865211908506,0.7345003084515731,0.7345003084515731,0.06026851208207427,0.05986514180653897,0.0004033702755352961,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/sst5_logits.csv
./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/dsc_logits.csv,11531,2,1.07865211908506,0.8460671234064695,0.8460671234064695,0.05958817301170727,0.05099485367444091,0.008593319337266356,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/sst5_logits.csv
./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/dynasent_logits.csv,4320,3,1.07865211908506,0.5560185185185185,0.5560185185185185,0.12884254491570182,0.11267397642604345,0.016168568489658378,exp2_sentiment,./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/sst5_logits.csv
