group,calibration_file,num_eval_files,mean_temperature,mean_acc_before,mean_acc_after,mean_ece_before,mean_ece_after,mean_ece_reduction
exp2_ner,./results/evaluations/method/NameEntityRecognition/conll/deberta-small/vanilla/logits/0/conll_token_logits.csv,4,1.5337791307916222,0.9317492449471547,0.9317492449471547,0.057521712869821,0.0449092116088113,0.012612501261009702
exp2_ner,./results/evaluations/method/NameEntityRecognition/ener/deberta-small/vanilla/logits/0/ener_token_logits.csv,4,1.0831072999323104,0.928138575983432,0.928138575983432,0.0475677875742085,0.04431520846674247,0.0032525791074660354
exp2_ner,./results/evaluations/method/NameEntityRecognition/wnut/deberta-small/vanilla/logits/0/wnut_token_logits.csv,4,1.7556225948409732,0.9241732142697412,0.9241732142697412,0.046263683355272193,0.04538645746493396,0.0008772258903382377
exp2_nli,./results/evaluations/method/NaturalLanguageInference/anli/t5-small/vanilla/logits/0/anli_logits.csv,4,2.9091513639376023,0.5184489154176513,0.5184489154176513,0.2341422190296018,0.09019822214126154,0.14394399688834025
exp2_nli,./results/evaluations/method/NaturalLanguageInference/contract_nli/t5-small/vanilla/logits/0/contract_nli_logits.csv,4,2.9072477602763005,0.3491658848877293,0.3491658848877293,0.26496810592179304,0.1008059198507694,0.16416218607102362
exp2_nli,./results/evaluations/method/NaturalLanguageInference/wanli/t5-small/vanilla/logits/0/wanli_logits.csv,4,1.1681019334311122,0.5161761753852293,0.5161761753852293,0.1391041379122747,0.10880735434154416,0.030296783570730526
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/dynasent/t5-small/vanilla/logits/0/dynasent_logits.csv,7,1.3233970806484823,0.7268600690859067,0.7268600690859067,0.07384748801225467,0.05655769238320103,0.01728979562905364
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/imdb/t5-small/vanilla/logits/0/imdb_logits.csv,7,1.215901203790345,0.6684844747927826,0.6684844747927826,0.20152337634619305,0.17995184136215553,0.021571534984037546
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/semeval/t5-small/vanilla/logits/0/semeval_logits.csv,7,1.243531311931459,0.6759063307390397,0.6759063307390397,0.07254878640088071,0.0679231459928044,0.00462564040807631
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/sst5/t5-small/vanilla/logits/0/sst5_logits.csv,7,1.07865211908506,0.7165676134511589,0.7165676134511589,0.05927686468887185,0.050599959115770164,0.008676905573101681
exp2_sentiment,./results/evaluations/method/SentimentAnalysis/yelp/t5-small/vanilla/logits/0/yelp_logits.csv,7,1.1672479258624957,0.705585479038649,0.705585479038649,0.11434753142914386,0.09026722413080389,0.024080307298339976
exp2_toxic,./results/evaluations/method/ToxicDetection/civil_comments/t5-small/vanilla/logits/0/civil_comments_logits.csv,4,1.5560528966615872,0.6861029108963426,0.6861029108963426,0.19177548982583587,0.1343134759970279,0.05746201382880798
exp2_toxic,./results/evaluations/method/ToxicDetection/implicit_hate/t5-small/vanilla/logits/0/implicit_hate_logits.csv,4,1.0412351807375968,0.5043781450710274,0.5043781450710274,0.39018371636737126,0.387691831508872,0.002491884858499291
exp2_toxic,./results/evaluations/method/ToxicDetection/toxigen/t5-small/vanilla/logits/0/toxigen_logits.csv,4,1.267723809867339,0.6802876255688846,0.6802876255688846,0.0762634706749731,0.04657291584915371,0.02969055482581939
exp3_arxiv,./wildtime_exp3/results/exp3_arxiv_val_logits.csv,12,1.1844130001402056,0.41266734831801416,0.41266734831801416,0.1834938108111437,0.11172772955427718,0.07176608125686651
exp3_huffpost,./wildtime_exp3/results/exp3_huffpost_val_logits.csv,3,1.3046651820217618,0.6908571941828013,0.6908571941828013,0.14549516914247754,0.08312472446418037,0.06237044467829716
